client_id,birth_number,district_id
1,706213,18
2,450204,1
3,406009,1
4,561201,5
5,605703,5
6,190922,12
7,290125,15
8,385221,51
9,351016,60
10,430501,57
11,505822,57
12,810220,40
13,745529,54
14,425622,76
15,185828,21
16,190225,21
17,341013,76
18,315405,76
19,421228,47
20,790104,46
21,526029,12
22,696011,1
23,730529,1
24,395729,43
25,395423,21
26,695420,74
27,665326,54
28,450929,1
29,515911,30
30,576009,74
31,620209,68
32,800728,52
33,486204,73
36,785717,7
37,700810,7
38,735723,36
39,680125,68
40,575122,5
41,680827,22
42,350817,68
43,201028,75
44,775111,38
45,520826,20
46,405130,19
47,340714,76
48,400209,16
49,595511,72
50,785730,39
51,796202,36
52,241212,32
53,770505,64
55,485918,45
56,600331,21
57,616217,21
58,275429,1
59,570218,1
60,800219,67
61,485806,16
62,321208,77
63,590604,4
64,260422,20
65,435527,50
66,516110,1
67,326111,29
68,461214,43
70,251222,70
71,275206,70
72,230113,47
73,240220,22
74,255726,22
75,775919,64
76,676001,36
77,565218,1
78,445613,16
79,695310,37
80,795225,64
81,760429,8
82,796225,8
83,786225,1
84,790505,1
85,610827,1
86,695720,1
87,466117,72
89,515505,1
90,750817,52
91,400807,63
92,665612,74
93,250216,3
94,470909,43
95,525803,43
96,720229,74
97,651128,26
98,735504,33
99,730126,33
100,425811,44
101,430123,68
102,585910,74
103,550711,74
105,800526,31
106,686230,68
107,720623,1
108,630913,17
110,675413,2
112,350125,1
113,405815,1
114,695624,74
115,691224,74
116,420128,74
117,365920,74
118,220719,55
119,225228,55
120,760510,1
121,786029,41
122,636113,35
123,690212,11
124,670921,44
125,361031,37
126,295927,37
127,506227,21
128,735404,63
129,475531,64
130,420214,53
131,775131,53
132,530126,36
134,320118,6
135,385910,6
136,215126,55
137,230914,60
138,726021,54
139,595725,8
140,610606,8
141,251102,31
142,370621,68
143,780709,27
144,581206,65
145,780214,55
146,616219,31
147,336102,21
148,401225,21
149,480627,55
150,805927,2
151,715923,51
152,456202,29
153,815212,13
154,330827,74
155,395313,74
156,305722,54
157,435709,52
158,455703,40
159,380910,40
160,425426,64
161,436007,34
162,411017,65
163,330612,74
164,625404,70
165,681108,22
166,616022,22
167,785418,38
168,766105,24
169,530912,38
170,465616,38
171,290625,51
172,356005,51
173,186208,21
174,781110,10
175,600713,31
176,290311,4
178,601222,8
179,801229,43
180,820119,73
181,670706,76
182,595713,76
183,785319,1
184,720605,1
185,540530,77
186,615222,46
187,420823,58
188,600902,64
189,190810,11
190,476031,37
191,540903,37
192,710228,70
193,620501,1
194,246220,28
195,191118,74
196,275625,74
197,330425,30
198,760714,60
199,230621,29
200,285113,29
201,305819,17
202,766121,29
203,620610,31
204,675617,31
205,425615,4
206,635413,59
207,320520,46
208,405625,13
209,350820,13
210,391130,66
211,455628,66
212,750210,52
215,670924,71
216,600130,1
217,746222,59
218,805123,1
219,645402,60
221,775225,21
222,725629,47
223,525227,43
224,550511,77
225,360510,32
226,420616,1
227,266218,52
228,565316,48
229,690722,76
230,675310,74
231,410218,41
232,215617,55
233,586203,69
234,550621,69
235,435828,44
236,610901,70
237,695222,70
238,616128,6
239,745910,1
240,295617,34
241,590123,70
242,615801,17
243,540210,63
246,706228,67
247,570508,1
248,696212,61
249,700505,61
250,796125,8
251,765303,54
252,695901,37
253,475512,48
254,630530,28
255,516011,27
256,635227,73
257,426104,22
258,370531,22
259,660608,31
260,625224,31
261,376207,38
262,451125,77
263,620520,68
264,780822,28
265,335107,72
266,675828,19
267,670612,37
268,825502,39
269,236203,15
270,470308,46
271,455727,46
272,446025,70
273,725515,27
274,706125,17
275,186112,1
276,570611,1
277,616128,1
278,726227,22
279,700516,22
280,696218,45
282,385224,73
283,331104,73
284,740806,10
285,540603,72
286,525418,72
287,800909,50
288,620421,6
289,580327,54
290,590112,72
291,555427,72
292,585906,15
293,430927,69
294,680321,58
295,390327,12
296,740301,65
297,245315,65
298,210613,65
300,575730,1
301,420110,28
302,710223,56
303,460506,74
304,345311,19
305,380608,46
308,765612,68
309,696214,37
310,500416,11
311,305916,64
312,240703,2
313,425511,24
314,450322,24
315,670501,54
316,550428,75
317,576006,64
318,435402,15
319,295404,19
320,341112,19
321,436024,47
322,330201,38
323,385404,38
324,601203,3
325,600221,3
326,675918,27
327,681013,27
328,185124,1
329,641203,11
330,445805,65
331,420302,1
332,780725,29
333,711019,38
334,691031,32
335,675722,73
336,645211,39
337,570508,39
338,515619,8
339,660730,1
340,705819,1
341,770316,69
342,725630,69
343,191119,44
344,635716,54
345,531207,17
346,606102,17
347,591213,71
348,535124,71
349,275527,39
350,255402,25
351,730501,1
352,400827,56
353,651026,7
354,225427,49
355,300531,49
356,796207,1
357,790330,1
358,595626,7
359,700216,66
360,430427,49
361,775525,74
362,505427,35
363,420701,35
364,426205,54
365,300109,1
366,366110,1
367,635903,60
368,681014,60
369,306106,7
370,565105,71
371,420716,4
372,320403,34
373,360228,16
374,670614,26
375,695929,61
376,735108,14
378,780515,50
379,836013,50
380,730119,41
381,775126,73
382,780630,73
383,395517,15
384,351008,15
385,480324,45
386,800821,62
387,270606,76
388,506030,36
389,745630,47
390,775127,47
391,335522,47
392,505401,74
393,560831,74
394,245518,52
395,190705,52
396,200502,1
397,300327,75
398,255326,61
399,520414,45
400,331227,1
401,286119,1
402,431225,3
403,735526,42
404,670420,42
405,346019,65
406,770515,36
407,755527,73
408,785222,35
409,250618,74
410,621220,62
411,415414,17
412,440417,17
413,726118,49
414,476019,46
415,450401,46
416,326007,1
417,300610,1
418,661013,28
419,706007,64
420,780313,18
421,650731,54
422,461207,69
423,570623,37
424,471008,1
425,480212,25
426,370601,72
427,415914,72
428,196116,47
429,815120,50
430,200728,39
431,276001,24
432,525326,59
433,550207,62
434,435130,70
435,671023,20
436,550615,2
437,205117,11
438,380928,32
439,685912,51
440,705707,15
441,590914,1
442,716216,1
443,711220,1
444,605801,74
445,475427,1
446,520319,1
447,460904,23
448,705815,77
450,531127,25
451,790414,12
452,536022,55
453,690716,67
454,495615,38
455,200726,68
456,400228,25
457,500926,70
458,610724,68
459,675723,32
461,705813,68
462,701221,14
463,440405,38
464,595730,24
465,520901,5
466,476119,1
467,500417,1
468,590427,72
469,706013,59
470,545421,30
471,770111,44
472,811227,36
473,395925,1
474,490531,46
476,475601,1
477,540720,1
478,780621,21
479,470820,11
480,465124,11
481,270122,69
482,345122,69
483,440619,1
484,595913,28
485,780516,32
486,440412,68
487,225401,1
488,170802,1
489,401007,41
490,501023,55
491,660805,63
492,351026,72
493,425604,41
494,800519,1
495,375407,49
496,515521,70
497,530202,74
498,485115,74
499,355708,18
500,710106,1
501,371028,62
502,191208,6
503,590724,73
504,790801,36
505,771221,13
506,460816,75
507,541116,75
508,710428,53
509,800502,73
510,760415,12
511,590218,9
512,655803,60
513,745111,8
514,681115,8
515,320526,1
516,305427,1
517,650725,63
518,795428,54
519,800413,18
520,475927,46
521,751225,69
522,565304,1
523,221217,38
524,635102,30
525,690814,30
526,640201,43
527,665818,43
528,770211,37
529,781105,69
530,575927,29
531,761004,27
532,805903,27
533,415519,54
534,570722,74
535,370909,26
536,390825,47
537,350116,1
538,485510,5
540,210728,19
541,275309,19
542,215209,59
543,585415,11
544,481116,63
545,736011,75
546,530825,7
547,490331,54
548,371204,49
550,611130,7
551,765705,47
552,345508,1
553,410407,1
554,255419,30
555,261021,30
556,460708,29
557,390717,51
558,205705,43
559,725905,32
560,676216,71
561,626110,74
562,755922,49
563,615909,72
564,550124,72
565,595703,64
566,465305,47
567,500502,47
568,605719,8
569,620615,73
570,415131,61
571,240927,3
572,205804,3
573,670810,69
574,721225,1
575,700404,58
576,745512,58
577,636205,1
578,775707,23
579,335531,72
581,495204,70
582,500926,1
583,655101,75
584,765513,33
585,425221,40
586,471103,40
587,455708,25
588,606020,61
589,610917,45
590,490215,44
591,746029,65
592,650718,26
593,545710,60
596,481024,69
597,430222,55
598,701231,1
599,775518,1
601,660312,56
602,655116,56
603,665309,13
604,655731,1
605,705827,1
606,495125,10
607,640330,64
608,720831,67
609,620902,52
610,795810,74
611,521013,36
612,606110,36
613,775810,1
614,475203,14
615,495913,68
616,750101,58
617,740314,70
618,325316,57
619,200907,6
620,185213,6
621,390317,54
622,316123,74
623,250904,24
624,325726,24
625,786124,60
626,800413,9
627,720411,17
628,705527,17
629,760310,16
630,520303,61
631,565322,70
632,460316,67
633,385612,67
635,275629,17
636,350217,17
637,706215,39
638,615203,54
639,780802,31
640,790415,26
641,625704,40
642,631025,40
643,495613,1
644,615423,35
645,251221,14
646,225929,34
647,290406,34
648,355928,70
649,785502,13
651,765127,54
652,381208,61
653,306121,1
654,425517,64
655,421210,32
656,560606,1
657,265710,8
658,261221,8
659,651207,24
660,230322,16
661,195115,16
662,450807,5
663,230120,24
664,805319,77
665,325405,62
666,820523,26
667,815720,26
668,426225,1
669,566219,12
670,590121,1
671,715227,10
672,296109,46
673,391029,36
